key,fr
common.add,Ajouter
common.cancel,Annuler
common.name,Nom
common.use,Utiliser
common.apply,Appliquer
common.close,Fermer
common.confirm,Confirmer
common.save,Enregistrer
common.edit,Modifier
common.delete,Supprimer
common.ok,OK
common.information,Information
common.on,ON
common.off,OFF
common.loading,Chargement
common.create,Créer
common.remove,Retirer
common.expand,Déplier
common.collapse,Replier
common.validate,Valider
app.loading.preparing,Cadence se prépare...
app.loading.hub,Chargement du hub...
app.loading.scene,Chargement de la scène...
app.pwa.updateReady,Mise à jour prête
app.pwa.updateHelp,Recharge l’application pour utiliser la nouvelle version.
performance.menu.title,Performance
performance.menu.label,Mode
performance.menu.autoActive,Auto active
performance.preference.auto,Automatique
performance.preference.normal,Normal
performance.preference.performance,Performance
options.title,Options
options.open,Ouvrir les options
options.theme.title,Apparence
options.theme.mode,Mode
options.theme.auto,Automatique
options.theme.manual,Manuel
options.theme.label,Thème
options.theme.system,Système
options.theme.light,Clair
options.theme.dark,Sombre
addons.title,Modules complémentaires
addons.help,Des outils isolés que l’on peut tester avant de les intégrer au reste de Cadence.
errors.title,Cadence a rencontré une erreur
errors.description,L’interface a été interrompue au lieu de continuer sur un état incohérent.
errors.unknown,Erreur inconnue
errors.reload,Recharger
errors.resetLocalData,Réinitialiser les données locales
onboarding.familySwitchLabel,Famille de presets
onboarding.family.generic,Génériques
onboarding.family.system,Systèmes
onboarding.toggleTheme,Basculer thème clair ou sombre
onboarding.title,Configurer les règles de la table
onboarding.description,"Choisissez le déroulement des rounds, l’initiative et les actions. Le profil de départ reprend les règles courantes de D&D 5e."
onboarding.presets.genericTitle,Presets génériques
onboarding.presets.systemTitle,Presets systèmes
onboarding.presets.systemNote,"Configurations compatibles, non officielles."
onboarding.trackers.health,Points de vie
onboarding.trackers.resource,Ressource
onboarding.trackers.sanity,Santé mentale
onboarding.trackers.luck,Chance
onboarding.trackers.magicPoints,Points de magie
onboarding.trackers.focus,Concentration
onboarding.trackers.investiture,Investiture
onboarding.trackers.armorClass,Classe d’armure
onboarding.trackers.mainResource,Ressource principale
onboarding.trackers.legendaryActions,Actions légendaires
onboarding.trackers.legendaryResistances,Résistances légendaires
onboarding.trackers.bossPhase,Phase du boss
onboarding.trackers.harm,Dégâts
onboarding.trackers.narrativeResource,Ressource narrative
onboarding.trackers.wounds,Blessures
onboarding.trackers.fatigue,Fatigue
onboarding.trackers.bennies,Jetons
onboarding.trackers.physicalMonitor,Moniteur physique
onboarding.trackers.stunMonitor,Moniteur étourdissant
onboarding.trackers.overflowMonitor,Moniteur de débordement
onboarding.trackers.edge,Edge
onboarding.trackers.threshold.wounded,Blessé
